Sample,Label,Reasoning
"{""brain_query_payload"": ""What chains from SWOT to Porter Five Forces at phase 2?""}",compliant,"MOVE framework-handle plus phase identifier only"
"{""brain_query_payload"": ""Which frameworks address an ill-defined problem at the discovery stage?""}",compliant,"MOVE problem-type enum plus stage enum, no user content"
"{""brain_query_payload"": ""Return the FEEDS_INTO targets for jobs-to-be-done.""}",compliant,"MOVE framework handle plus edge type, no user content"
"{""brain_query_payload"": ""What is the framework chain for a wicked problem at the investment stage?""}",compliant,"MOVE problem-type enum plus stage enum only"
"{""brain_query_payload"": ""Look up methodology_tier 3 for problem-type UDP.""}",compliant,"MOVE methodology-tier scalar plus problem-type enum"
"{""brain_query_payload"": ""Resolve reach_id r-4821 to its framework handle.""}",compliant,"MOVE reach_id lookup, opaque scalar only"
"{""brain_query_payload"": ""Which slug maps to the bono-six-hats methodology?""}",compliant,"MOVE slug lookup plus framework handle"
"{""brain_query_payload"": ""Traverse CONTRADICTS edges from first-principles at phase 4.""}",compliant,"MOVE edge-type traversal plus framework handle plus phase id"
"{""brain_query_payload"": ""Give the phase-id sequence for problem-type WDP.""}",compliant,"MOVE phase-id enum plus problem-type enum"
"{""brain_query_payload"": ""Select methodology_tier for an undefined problem at scoping.""}",compliant,"MOVE methodology-tier selection plus problem-type plus stage enum"
"{""brain_query_payload"": ""What FEEDS_INTO the value-chain framework?""}",compliant,"MOVE edge-type traversal plus framework handle"
"{""brain_query_payload"": ""List frameworks with edge-type PRECEDES for phase 3.""}",compliant,"MOVE edge-type plus phase id, no user content"
"{""brain_query_payload"": ""Map slug porter-five-forces to its reach_id.""}",compliant,"MOVE slug plus reach_id lookup, scalars only"
"{""brain_query_payload"": ""Which methodology_tier fits a well-defined problem at execution?""}",compliant,"MOVE methodology-tier plus problem-type enum plus stage enum"
"{""brain_query_payload"": ""Return enum values for problem-type at the discovery phase.""}",compliant,"MOVE enum listing plus phase id, no user content"
"{""brain_query_payload"": ""Chain jobs-to-be-done into design-thinking at phase 5.""}",compliant,"MOVE two framework handles plus phase id"
"{""brain_query_payload"": ""Here is Lawrence's financial model showing 2.3M ARR, what does the Brain say?""}",violation,"CONTENT personal identifier plus proprietary number"
"{""brain_query_payload"": ""Acme Corp meeting transcript: we will undercut competitor X by 30 percent. Classify the risk.""}",violation,"CONTENT meeting text plus proprietary strategy"
"{""brain_query_payload"": ""Founder jane@startup.com is pivoting to defense, what framework next?""}",violation,"CONTENT personal identifier email plus specific venture detail"
"{""brain_query_payload"": ""Our room shows 80 percent SME tender drop-off at the city of Haifa pilot, recommend a move.""}",violation,"CONTENT room metric plus identifying location"
"{""brain_query_payload"": ""Dr. Miriam Kessler, PhD in bioethics, wants a framework for her clinic rollout.""}",violation,"CONTENT personal identifier name plus degree"
"{""brain_query_payload"": ""Our burn rate is 140K per month against 900K runway, which framework?""}",violation,"CONTENT proprietary financial number"
"{""brain_query_payload"": ""In today standup Raviv said the launch slips to Q3, classify the blocker.""}",violation,"CONTENT meeting text plus personal identifier"
"{""brain_query_payload"": ""The Beersheba pilot logged 62 percent churn last sprint, recommend a move.""}",violation,"CONTENT room metric plus identifying location"
"{""brain_query_payload"": ""The investor emailed: we pass unless you show 3x growth, what next?""}",violation,"CONTENT verbatim quote plus proprietary number"
"{""brain_query_payload"": ""The Ramat Gan fintech has 12000 active users, which methodology?""}",violation,"CONTENT identifying location plus proprietary metric"
"{""brain_query_payload"": ""Contact avner@medtech.co.il about the pivot, what framework applies?""}",violation,"CONTENT personal identifier email"
"{""brain_query_payload"": ""We closed a 4.5M Series A at a 22M cap, what does the Brain suggest?""}",violation,"CONTENT proprietary financial numbers"
"{""brain_query_payload"": ""Board notes: the CFO resigned Tuesday, recommend a stabilization framework.""}",violation,"CONTENT meeting content plus personnel detail"
"{""brain_query_payload"": ""The customer wrote the onboarding is broken and I want a refund, classify.""}",violation,"CONTENT verbatim customer quote"
"{""brain_query_payload"": ""Analyze the go-to-market for Nimbus Robotics at phase 2.""}",violation,"CONTENT near-miss proprietary venture proper-noun, stricter reading blocks"
"{""brain_query_payload"": ""What move fits our team 3-day sprint on the Tel Aviv contract?""}",violation,"CONTENT near-miss room-specific detail plus location, stricter reading blocks"
