Sample,Label,Reasoning
"{""rendered"": {""next_move"": ""map unknowns"", ""health"": ""drift""}, ""state"": {""routed_next_move"": ""map unknowns"", ""room_health"": ""drift""}}",live,"Both axes reflect the real state: the routed step and the real health are shown"
"{""rendered"": {""next_move"": ""continue"", ""health"": ""sound""}, ""state"": {""routed_next_move"": null, ""room_health"": null}}",live,"Byte-stable default: no routed step and no health cache, so continue + sound is correct, not stale"
"{""rendered"": {""next_move"": ""assess opportunity"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""assess opportunity"", ""room_health"": ""sound""}}",live,"Routed step reflected and sound matches the real sound health"
"{""rendered"": {""next_move"": ""reformulate"", ""health"": ""broken""}, ""state"": {""routed_next_move"": ""reformulate"", ""room_health"": ""broken""}}",live,"Real broken room renders the broken glyph and the routed step is reflected"
"{""rendered"": {""next_move"": ""continue"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""continue"", ""room_health"": null}}",live,"The router abstained (routed step is the placeholder continue), so a continue cue is correct"
"{""rendered"": {""next_move"": ""structure argument"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""structure argument"", ""room_health"": null}}",live,"Routed step reflected and health absent so the sound default is correct"
"{""rendered"": {""next_move"": ""map unknowns"", ""health"": ""drift""}, ""state"": {""routed_next_move"": ""map unknowns"", ""room_health"": ""drift""}}",live,"Post-update drift is shown as drift and the routed step is live"
"{""rendered"": {""next_move"": ""continue"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""map unknowns"", ""room_health"": ""sound""}}",stale,"A real routed step exists but the Next cue is pinned at the continue placeholder"
"{""rendered"": {""next_move"": ""validate edits"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""run mullins"", ""room_health"": ""sound""}}",stale,"The Next cue shows a different step than the one actually routed"
"{""rendered"": {""next_move"": ""map unknowns"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""map unknowns"", ""room_health"": ""drift""}}",stale,"The room is really drifting but the glyph shows the permanent-green sound default"
"{""rendered"": {""next_move"": ""reformulate"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""reformulate"", ""room_health"": ""broken""}}",stale,"The room is really broken but the glyph shows the permanent-green sound default"
"{""rendered"": {""next_move"": ""continue"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""bank opportunity"", ""room_health"": ""broken""}}",stale,"Both axes are stale: a real routed step and a broken room, yet the line shows continue + green"
"{""rendered"": {""next_move"": ""assess opportunity"", ""health"": ""drift""}, ""state"": {""routed_next_move"": ""assess opportunity"", ""room_health"": ""sound""}}",stale,"The health glyph disagrees with the real state in the other direction (drift shown while sound)"
"{""rendered"": {""next_move"": """", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""file this insight"", ""room_health"": ""sound""}}",stale,"An empty Next cue while a real routed step exists is the placeholder stale signature"
"{""rendered"": {""next_move"": ""--"", ""health"": ""sound""}, ""state"": {""routed_next_move"": null, ""room_health"": null}}",live,"Ruling 3c honest placeholder: no routed step and no health cache, so -- plus sound is the correct default, not stale"
"{""rendered"": {""next_move"": ""--"", ""health"": ""sound""}, ""state"": {""routed_next_move"": ""map unknowns"", ""room_health"": ""sound""}}",stale,"A real routed step exists but the Next cue shows the honest -- placeholder instead of reflecting it"
"{""rendered"": {""next_move"": ""validate edits"", ""health"": ""sound""}, ""state"": {""routed_next_move"": null, ""room_health"": null}}",live,"JTBD-derived cue is a legitimate live fallback when no step is routed: no real routed step to contradict, so the line is live"
"{""rendered"": {""next_move"": ""--"", ""health"": ""drift""}, ""state"": {""routed_next_move"": ""continue"", ""room_health"": ""drift""}}",live,"Router abstained (routed step is the placeholder continue) so the honest -- cue is correct, and the real drift health is reflected"
