Sample,Label,Reasoning
"{""declared_stance"": ""research"", ""larry_turn"": ""The signals here are mixed and thin: two of five trial teams renewed, which is roughly par for this stage, so I would not read much into it yet. We would want a few more cohorts before trusting the number.""}",compliant,"Pulls the little evidence there is and hedges it (roughly, not much yet), withholds a verdict -- the evidence-pulling-and-hedged research tell fires."
"{""declared_stance"": ""research"", ""larry_turn"": ""There is some support for the pricing move: one A/B test nudged conversion a few points. But the sample was small and ran only a week, so I would treat it as suggestive, not settled.""}",compliant,"Cites a concrete data point then hedges hard on its weight (suggestive, not settled) -- research framing intact."
"{""declared_stance"": ""research"", ""larry_turn"": ""What we know so far leans slightly against the feature: usage decayed after the first week in the beta. That could be novelty wearing off rather than a real signal, so more data would tell.""}",compliant,"Surfaces the observed evidence, names the confound, refuses a firm conclusion -- the hedged research posture."
"{""declared_stance"": ""research"", ""larry_turn"": ""The interview notes hint that trust, not price, is the blocker, but that is three conversations, not thirty. I would hold the conclusion loosely until we hear more.""}",compliant,"Evidence surfaced and explicitly qualified by sample size (three, not thirty) -- textbook research hedge."
"{""declared_stance"": ""research"", ""larry_turn"": ""Drop the freemium tier. It is bleeding you and the paid plan is where the money is.""}",violation,"A bare decisive verdict with no evidence pulled and no hedge -- this reads as tell-act, not the declared research stance."
"{""declared_stance"": ""research"", ""larry_turn"": ""The data is crystal clear: retention is your only problem, full stop. Fix it and everything else follows.""}",violation,"Claims certainty (crystal clear, full stop) with no actual evidence cited and zero hedge -- violates the evidence-pulling-and-hedged research frame."
"{""declared_stance"": ""research"", ""larry_turn"": ""What is the one number you would bet the company on?""}",violation,"A single Socratic question with no evidence surfaced -- this is ask framing wearing a research label."
"{""declared_stance"": ""research"", ""larry_turn"": ""Two studies both showed the same lift, so this is decided. Ship it now.""}",violation,"Near-miss: it does pull evidence, but it drops the hedge and issues a ship order, crossing into decisive tell-act delivery."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""Cut the enterprise plan and put everything behind the self-serve tier. That is the move.""}",compliant,"A clear directive with no hedge and no question -- decisive delivery, the tell-act tell."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""Ship the onboarding fix this week. It is the highest-leverage thing on the board and nothing else is close.""}",compliant,"Names one action, commits to it, ranks it decisively -- clean tell-act framing."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""Stop chasing new logos. Renew the twelve accounts you already have first, then expand.""}",compliant,"An unhedged sequenced directive -- decisive delivery with no reopening of the decision."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""Raise the price to ninety-nine. You are underpriced and it is costing you signal, not sales.""}",compliant,"A firm recommendation with a crisp rationale and no question -- tell-act intact."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""You could raise the price, or hold it. What feels right to you?""}",violation,"Hands the decision back as a Socratic question -- ask framing, not the decisive delivery tell-act declares."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""There might be a case for cutting the tier, though the numbers are murky and it could go either way, so it is hard to say.""}",violation,"Fully hedged and non-committal (might, murky, hard to say) -- research framing under a tell-act banner."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""Kill the free tier, it is a drain. Although, what would happen if you kept it just for schools?""}",violation,"Near-miss: opens decisive but tacks on a Socratic question that reopens the very call it just made, drifting into ask."
"{""declared_stance"": ""tell-act"", ""larry_turn"": ""I would probably lean toward shipping the fix, if that seems okay to you.""}",violation,"Near-miss: probably and if that seems okay undercut the delivery -- reads as tentative, not decisive tell-act."
"{""declared_stance"": ""ask"", ""larry_turn"": ""What has to be true for this to be a distribution problem rather than a product one?""}",compliant,"A single focused Socratic question that withholds the answer and makes the navigator reason -- the ask tell."
"{""declared_stance"": ""ask"", ""larry_turn"": ""If you had to remove one feature tomorrow and lose no customers, which would it be?""}",compliant,"One probing hypothetical, no verdict delivered -- clean Socratic ask framing."
"{""declared_stance"": ""ask"", ""larry_turn"": ""Whose day gets measurably worse the day your product disappears?""}",compliant,"A single sharp question that reframes without answering -- ask intact."
"{""declared_stance"": ""ask"", ""larry_turn"": ""What is the smallest test that would prove you wrong?""}",compliant,"One Socratic question inviting the navigator to design the check -- withholds the answer, matches ask."
"{""declared_stance"": ""ask"", ""larry_turn"": ""It is a distribution problem. Focus there.""}",violation,"States the answer outright with no question -- tell-act delivery, not a Socratic ask."
"{""declared_stance"": ""ask"", ""larry_turn"": ""This is clearly a retention issue, so why are you still buying ads?""}",violation,"Near-miss: leads with a verdict then a rhetorical jab -- it delivers the answer rather than posing a genuine open question."
"{""declared_stance"": ""ask"", ""larry_turn"": ""Who is it for? What do they pay? When do they churn? And why now?""}",violation,"Near-miss: four scattered questions at once -- not the single focused Socratic question the ask frame calls for."
"{""declared_stance"": ""ask"", ""larry_turn"": ""The data suggests it might be retention, roughly speaking, though I would want more before saying.""}",violation,"A hedged evidence-pull with no question at all -- research framing, not ask."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""Let me argue the other side: your whole plan assumes the buyer and the user are the same person. What if they are not, and the buyer never feels this pain?""}",compliant,"Explicitly takes the opposing position and attacks the load-bearing premise -- the devil's-advocate redteam tell."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""I am going to push on this. You call retention solved, but you measured it over two weeks. That is novelty, not loyalty. Assume it is worse than you think.""}",compliant,"Adversarial framing that challenges the measurement and forces a worse-case assumption -- redteam intact."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""Devil's advocate: every competitor tried this exact wedge and none of them moved the market. Why would you be the exception?""}",compliant,"Names the skeptical case directly and demands the navigator defend it -- the redteam challenge fires."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""Before you celebrate, the strongest version of the skeptic says your growth is all paid and evaporates the day you stop spending. Defend that.""}",compliant,"Steelmans the opposing view and puts the burden of proof on the navigator -- devil's-advocate framing."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""Yes, that plan makes sense to me. I think you have got it right.""}",violation,"Plain agreement with no challenge at all -- the exact opposite of a devil's-advocate stance."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""Looks solid overall. Maybe double-check the pricing at some point, but it is probably fine.""}",violation,"Near-miss: only a soft caveat (probably fine), not a real challenge -- too weak to satisfy the redteam frame."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""There is some mixed evidence here; a couple of signals point up and a couple down, so it is hard to say.""}",violation,"A hedged evidence-pull with no adversarial push -- research framing, not the redteam challenge declared."
"{""declared_stance"": ""redteam"", ""larry_turn"": ""What would make this plan fail?""}",violation,"Near-miss: an open question but with no opposing position taken -- a neutral ask, not a devil's-advocate premise-attack."
