Sample,Label,Reasoning
"{""hat"":""Black"",""domain"":""regulatory strategy"",""subdomain"":""clinical trials"",""beautiful_question"":""How does regulatory strategy hold up when the FDA 21 CFR and ISO 13485 lenses disagree about clinical trials?"",""research_approach"":""Cross-examine clinical trials through the FDA 21 CFR / ISO 13485 frameworks (3 distinct sources), then synthesize the Black-hat stance."",""lens_count"":4,""distinct_source_count"":3}",faithful,Valid hat; coherent domain and subdomain; question derived from the lens; approach cites the multi-source fan-out.
"{""hat"":""Yellow"",""domain"":""supply chain resilience"",""subdomain"":""supplier concentration"",""beautiful_question"":""Where does supply chain resilience break when the theory-of-constraints and SCOR lenses meet supplier concentration?"",""research_approach"":""Cross-examine supplier concentration through the constraints and SCOR frameworks (3 distinct sources), then weigh the Yellow-hat upside."",""lens_count"":4,""distinct_source_count"":3}",faithful,Genuine multi-lens construction; the question and approach both name the fan-out sources.
"{""hat"":""Green"",""domain"":""pedagogy"",""subdomain"":""formative assessment"",""beautiful_question"":""What new practice appears when Bloom taxonomy and backward design disagree about formative assessment?"",""research_approach"":""Explore formative assessment across the Bloom and backward-design frameworks (2 distinct sources), then propose the Green-hat move."",""lens_count"":3,""distinct_source_count"":2}",faithful,Coherent lens; creative question grounded in two distinct sources.
"{""hat"":""White"",""domain"":""urban mobility"",""subdomain"":""last-mile delivery"",""beautiful_question"":""What do the queueing-theory and hub-and-spoke lenses each measure about last-mile delivery?"",""research_approach"":""Fact-gather last-mile delivery from the queueing and hub-and-spoke frameworks (2 distinct sources), then report the White-hat data."",""lens_count"":3,""distinct_source_count"":2}",faithful,Data-hat construction with a real two-source fan-out.
"{""hat"":""Black"",""domain"":""cybersecurity"",""subdomain"":""threat modeling"",""beautiful_question"":""Where does cybersecurity fail when the STRIDE and attack-tree lenses disagree about threat modeling?"",""research_approach"":""Cross-examine threat modeling through the STRIDE and attack-tree frameworks (3 distinct sources), then surface the Black-hat risks."",""lens_count"":4,""distinct_source_count"":3}",faithful,Valid caution-hat expert; the question probes a genuine lens disagreement.
"{""hat"":""Blue"",""domain"":""climate adaptation"",""subdomain"":""coastal flooding"",""beautiful_question"":""How should we sequence coastal flooding work when RCP scenarios and real-options lenses disagree about climate adaptation?"",""research_approach"":""Orchestrate coastal flooding across the RCP-scenario and real-options frameworks (2 distinct sources), then set the Blue-hat plan."",""lens_count"":3,""distinct_source_count"":2}",faithful,Process-hat synthesis grounded in two distinct sources.
"{""hat"":""Yellow"",""domain"":""product strategy"",""subdomain"":""pricing tiers"",""beautiful_question"":""Where is the upside in pricing tiers when Van Westendorp and jobs-to-be-done lenses disagree about product strategy?"",""research_approach"":""Cross-examine pricing tiers through the Van Westendorp and jobs-to-be-done frameworks (2 distinct sources), then argue the Yellow-hat case."",""lens_count"":3,""distinct_source_count"":2}",faithful,Genuine derived question; approach names both fan-out sources.
"{""hat"":""White"",""domain"":""public health"",""subdomain"":""vaccine logistics"",""beautiful_question"":""What do the cold-chain and SEIR lenses each show about vaccine logistics?"",""research_approach"":""Fact-gather vaccine logistics across the cold-chain and SEIR frameworks (3 distinct sources), then report the White-hat picture."",""lens_count"":4,""distinct_source_count"":3}",faithful,Coherent data-hat construction with a three-source fan-out.
"{""hat"":""Green"",""domain"":""energy systems"",""subdomain"":""grid balancing"",""beautiful_question"":""What new option appears when merit-order dispatch and demand-response lenses disagree about grid balancing?"",""research_approach"":""Explore grid balancing across the merit-order and demand-response frameworks (2 distinct sources), then propose the Green-hat idea."",""lens_count"":3,""distinct_source_count"":2}",faithful,Creative-hat expert with a real two-source fan-out.
"{""hat"":""Red"",""domain"":""behavioral economics"",""subdomain"":""default effects"",""beautiful_question"":""What does intuition say about default effects when nudge theory and prospect theory disagree about behavioral economics?"",""research_approach"":""Read default effects through the nudge-theory and prospect-theory frameworks (2 distinct sources), then voice the Red-hat instinct."",""lens_count"":3,""distinct_source_count"":2}",faithful,Feeling-hat construction grounded in two distinct sources.
"{""hat"":""White"",""domain"":""materials science"",""subdomain"":""fatigue cracking"",""beautiful_question"":""What do the Paris-law and finite-element lenses each measure about fatigue cracking?"",""research_approach"":""Fact-gather fatigue cracking from the Paris-law and finite-element frameworks (3 distinct sources), then report the White-hat findings."",""lens_count"":4,""distinct_source_count"":3}",faithful,Data-hat expert; the question and approach both cite the distinct sources.
