Sample,Label,Reasoning
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Every pair sits at the boundary extreme (semantic 0 / lsa 1 / signed_diff -1); the two spaces are measuring noise against noise.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.02,""lsa_score"":0.98,""signed_diff"":-0.96},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,All four pairs collapse to the boundary within rounding; the SEED-018 signature.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Two-pair set both at the max-lsa/min-semantic corner.
"[{""semantic_score"":0.01,""lsa_score"":0.99,""signed_diff"":-0.98},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.03,""lsa_score"":0.97,""signed_diff"":-0.94}]",degenerate,Five pairs all within the degenerate band; classic hybrid-mode collapse.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Six identical boundary pairs; zero signal.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.04,""lsa_score"":0.96,""signed_diff"":-0.92},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Off-topic external leakage: keyword-matched papers pinned at lsa 1.0.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.01,""lsa_score"":0.99,""signed_diff"":-0.98}]",degenerate,Four pairs at the corner; the differential is not discriminating.
"[{""semantic_score"":0.05,""lsa_score"":0.95,""signed_diff"":-0.90},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Nearly all boundary; one marginal pair does not lift the set out of degenerate.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Five-pair boundary collapse on a strategic topic; the reported SEED-018 case.
"[{""semantic_score"":0.02,""lsa_score"":0.98,""signed_diff"":-0.96},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.01,""lsa_score"":0.99,""signed_diff"":-0.98}]",degenerate,All three within the degenerate rounding band.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Three boundary pairs; corpus pollution signature.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0}]",degenerate,Uniform boundary; the fix eliminates this shape.
"[{""semantic_score"":0.62,""lsa_score"":0.31,""signed_diff"":0.31},{""semantic_score"":0.48,""lsa_score"":0.55,""signed_diff"":-0.07},{""semantic_score"":0.71,""lsa_score"":0.4,""signed_diff"":0.31}]",calibrated,Mid-range spreads across both spaces; the differential is discriminating real structure.
"[{""semantic_score"":0.55,""lsa_score"":0.42,""signed_diff"":0.13},{""semantic_score"":0.33,""lsa_score"":0.61,""signed_diff"":-0.28},{""semantic_score"":0.68,""lsa_score"":0.29,""signed_diff"":0.39}]",calibrated,Healthy variance; no pair pinned at a corner.
"[{""semantic_score"":0.4,""lsa_score"":0.5,""signed_diff"":-0.1},{""semantic_score"":0.6,""lsa_score"":0.35,""signed_diff"":0.25}]",calibrated,Two pairs with moderate scores in both spaces.
"[{""semantic_score"":0.5,""lsa_score"":0.5,""signed_diff"":0.0},{""semantic_score"":0.45,""lsa_score"":0.52,""signed_diff"":-0.07},{""semantic_score"":0.58,""lsa_score"":0.44,""signed_diff"":0.14},{""semantic_score"":0.66,""lsa_score"":0.3,""signed_diff"":0.36}]",calibrated,Four pairs spread through the interior; a normal discovery run.
"[{""semantic_score"":0.72,""lsa_score"":0.25,""signed_diff"":0.47},{""semantic_score"":0.51,""lsa_score"":0.49,""signed_diff"":0.02},{""semantic_score"":0.38,""lsa_score"":0.6,""signed_diff"":-0.22}]",calibrated,Strong positive and negative differentials coexist; real salients.
"[{""semantic_score"":0.44,""lsa_score"":0.47,""signed_diff"":-0.03},{""semantic_score"":0.59,""lsa_score"":0.36,""signed_diff"":0.23}]",calibrated,Both pairs mid-range; no boundary collapse.
"[{""semantic_score"":0.63,""lsa_score"":0.34,""signed_diff"":0.29},{""semantic_score"":0.41,""lsa_score"":0.57,""signed_diff"":-0.16},{""semantic_score"":0.5,""lsa_score"":0.5,""signed_diff"":0.0},{""semantic_score"":0.55,""lsa_score"":0.4,""signed_diff"":0.15}]",calibrated,Four discriminating pairs; the post-fix expected shape.
"[{""semantic_score"":0.35,""lsa_score"":0.62,""signed_diff"":-0.27},{""semantic_score"":0.7,""lsa_score"":0.28,""signed_diff"":0.42}]",calibrated,Clear separation in both directions; healthy corpus.
"[{""semantic_score"":0.52,""lsa_score"":0.46,""signed_diff"":0.06},{""semantic_score"":0.6,""lsa_score"":0.38,""signed_diff"":0.22},{""semantic_score"":0.47,""lsa_score"":0.51,""signed_diff"":-0.04}]",calibrated,Interior spread; no degenerate pinning.
"[{""semantic_score"":0.0,""lsa_score"":1.0,""signed_diff"":-1.0},{""semantic_score"":0.58,""lsa_score"":0.4,""signed_diff"":0.18},{""semantic_score"":0.5,""lsa_score"":0.49,""signed_diff"":0.01}]",calibrated,One boundary pair among discriminating ones; the SET is not degenerate (a single corner pair is normal).
"[{""semantic_score"":0.66,""lsa_score"":0.3,""signed_diff"":0.36},{""semantic_score"":0.34,""lsa_score"":0.63,""signed_diff"":-0.29},{""semantic_score"":0.49,""lsa_score"":0.5,""signed_diff"":-0.01},{""semantic_score"":0.57,""lsa_score"":0.42,""signed_diff"":0.15}]",calibrated,Broad interior coverage; a strong discovery result.
