Sample,Label,Reasoning
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.82,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.41,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","calibrated","threshold tell: only the >=0.70 load-bearing claim is pre-checked, the 0.41 assumption is left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.91,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.75,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.33,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[0,1]}","calibrated","threshold tell: both >=0.70 candidates pre-checked, the 0.33 opportunity left off."
"{""candidate_set"":[{""kind"":""decision"",""confidence"":0.88,""descriptor"":""decision node-id + framework-tier enum""}],""pre_checked_indices"":[0]}","calibrated","confidence-order tell: the single high-confidence decision is pre-checked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.95,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.8,""descriptor"":""assumption node-id + phase-id enum""},{""kind"":""opportunity"",""confidence"":0.55,""descriptor"":""opportunity node-id handle only""},{""kind"":""decision"",""confidence"":0.2,""descriptor"":""decision node-id + framework-tier enum""}],""pre_checked_indices"":[0,1]}","calibrated","threshold tell: the two >=0.70 candidates pre-checked, the 0.55 and 0.20 left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.71,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.69,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","calibrated","threshold-boundary tell: 0.71 is pre-checked, 0.69 falls just under 0.70 and is left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.85,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.72,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.6,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[0,1]}","calibrated","threshold tell: both >=0.70 pre-checked, the 0.60 opportunity left off."
"{""candidate_set"":[{""kind"":""opportunity"",""confidence"":0.9,""descriptor"":""opportunity node-id handle only""},{""kind"":""assumption"",""confidence"":0.45,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","calibrated","confidence-order tell: the 0.90 opportunity is pre-checked ahead of the 0.45 assumption."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.78,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.74,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""assumption"",""confidence"":0.3,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0,1]}","calibrated","threshold tell: both >=0.70 pre-checked, the 0.30 assumption left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.73,""descriptor"":""claim node-id handle only""}],""pre_checked_indices"":[0]}","calibrated","threshold tell: the lone 0.73 candidate is above 0.70 and pre-checked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.88,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.83,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.4,""descriptor"":""opportunity node-id handle only""},{""kind"":""assumption"",""confidence"":0.15,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0,1]}","calibrated","threshold tell: the two >=0.70 pre-checked, the 0.40 and 0.15 left off."
"{""candidate_set"":[{""kind"":""decision"",""confidence"":0.7,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.5,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[0]}","calibrated","threshold-boundary tell: 0.70 sits exactly on the pre-check line and is checked, 0.50 is left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.92,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.35,""descriptor"":""assumption node-id + phase-id enum""},{""kind"":""opportunity"",""confidence"":0.34,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[0]}","calibrated","confidence-order tell: only the dominant 0.92 claim is pre-checked, the two ~0.34 tail candidates left off."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.82,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.41,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[1]}","miscalibrated","confidence-order tell: the 0.41 assumption is pre-checked while the load-bearing 0.82 claim is left unchecked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.91,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.75,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.33,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[2]}","miscalibrated","confidence-order tell: the lowest 0.33 opportunity is pre-checked, the two >=0.70 candidates left unchecked."
